FC;FR
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
186.0429;67.26567
