FC;FR
182.0969;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
213.0156;76.62814
201.7208;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
179.1313;76.62814
