FC;FR
186.7065;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
186.6273;62.82688
